ID,N6-acetyllysine,Methyllysine,SUMOylation,Hydroxylysine,Ubiquitination,N-linked_glycosylation,Phosphothreonine,Phosphoserine,Hydroxyproline,Phosphotyrosine,Pyrrolidone_carboxylic_acid,Methylarginine,S-palmitoyl_cysteine,O-linked_glycosylation
Prevalence_Sequence_ID:251406|ARO_Name:Hpyl_pbp2_AMX|ARO:3007058|Detection_Model:Protein,0.30823636363636364,0.12423636363636362,0.07741818181818179,0.0566,0.2986909090909092,0.1362325581395349,0.10935483870967744,0.20944,0.07740000000000002,0.19428571428571426,0.12948,0.11736842105263155,0.057,0.13530357142857147
Prevalence_Sequence_ID:251407|ARO_Name:Hpyl_pbp3_AMX|ARO:3007057|Detection_Model:Protein,0.2775573770491803,0.14268852459016398,0.11306557377049183,0.06198360655737705,0.3000491803278689,0.16477500000000003,0.1188529411764706,0.2769333333333333,0.1085769230769231,0.18253125,0.10203846153846154,0.11905263157894737,0.0,0.10370886075949369
Prevalence_Sequence_ID:251410|ARO_Name:Hpyl_rpoB_RIF|ARO:3007051|Detection_Model:Protein,0.2654194756554308,0.12946816479400758,0.12028838951310863,0.06620973782771533,0.3192097378277154,0.07196521739130436,0.1510294117647059,0.28558235294117634,0.11533636363636365,0.17219101123595504,0.11388607594936709,0.0658550724637681,0.05511764705882355,0.1137222222222222
Prevalence_Sequence_ID:251415|ARO_Name:Hpyl_pbp2_AMX|ARO:3007058|Detection_Model:Protein,0.30242592592592593,0.11529629629629631,0.0749074074074074,0.053796296296296287,0.3012592592592593,0.13377272727272727,0.10962068965517241,0.2145,0.07645833333333334,0.1966071428571428,0.12548148148148144,0.11657894736842105,0.057,0.13562264150943398
Prevalence_Sequence_ID:251423|ARO_Name:Hpyl_rdxA_MTZ|ARO:3007055|Detection_Model:Protein,0.22594117647058823,0.1945294117647059,0.05564705882352943,0.050647058823529434,0.28688235294117653,0.15742857142857145,0.16999999999999998,0.236952380952381,0.097,0.131875,0.21890909090909091,0.07160000000000001,0.08816666666666667,0.08276
Prevalence_Sequence_ID:251428|ARO_Name:Hpyl_pbp3_AMX|ARO:3007057|Detection_Model:Protein,0.27680327868852467,0.14090163934426228,0.1107049180327869,0.0607049180327869,0.30424590163934434,0.16502500000000003,0.1153235294117647,0.25190697674418605,0.10200000000000001,0.18337499999999998,0.10253846153846155,0.10857142857142858,0.0,0.09662337662337664
Prevalence_Sequence_ID:251446|ARO_Name:Hpyl_gyrA_FLO|ARO:3007052|Detection_Model:Protein,0.2809354838709678,0.1308064516129032,0.14124193548387096,0.07261290322580644,0.3645645161290323,0.11393181818181816,0.13107894736842102,0.3153958333333334,0.1008,0.17058333333333334,0.1408235294117647,0.07898,0.0805,0.11020930232558139
Prevalence_Sequence_ID:251449|ARO_Name:Hpyl_gyrA_FLO|ARO:3007052|Detection_Model:Protein,0.2800806451612903,0.13246774193548386,0.13491935483870965,0.07688709677419354,0.3510645161290322,0.11764285714285713,0.1568205128205128,0.3427735849056604,0.09591304347826086,0.16324000000000002,0.16233333333333336,0.08319148936170212,0.066,0.1140978260869565
Prevalence_Sequence_ID:251453|ARO_Name:Hpyl_rdxA_MTZ|ARO:3007055|Detection_Model:Protein,0.21399999999999997,0.181,0.06100000000000001,0.048500000000000015,0.2755625,0.15742857142857145,0.139,0.25161904761904763,0.11075,0.13299999999999998,0.19611111111111112,0.0521,0.07433333333333335,0.07516666666666667
Prevalence_Sequence_ID:251458|ARO_Name:Hpyl_gyrA_FLO|ARO:3007052|Detection_Model:Protein,0.2750952380952381,0.1342380952380952,0.13563492063492064,0.07398412698412693,0.35869841269841274,0.11565116279069765,0.13121621621621624,0.3301836734693878,0.09676,0.17684,0.13638888888888887,0.08325000000000002,0.06,0.11091860465116278
