ID,N6-acetyllysine,Methyllysine,SUMOylation,Hydroxylysine,Ubiquitination,N-linked_glycosylation,Phosphothreonine,Phosphoserine,Hydroxyproline,Phosphotyrosine,Pyrrolidone_carboxylic_acid,Methylarginine,S-palmitoyl_cysteine,O-linked_glycosylation
Prevalence_Sequence_ID:38330|ARO_Name:amrA|ARO:3002982|Detection_Model:Protein,0.28555555555555556,0.22144444444444444,0.18472222222222223,0.10133333333333333,0.4951666666666667,0.20900000000000002,0.15017241379310342,0.40811111111111115,0.1660909090909091,0.304,0.17063157894736844,0.09584615384615386,0.825,0.26886842105263165
Prevalence_Sequence_ID:38337|ARO_Name:amrA|ARO:3002982|Detection_Model:Protein,0.2958333333333334,0.23677777777777775,0.1785,0.09555555555555556,0.4984444444444444,0.20900000000000002,0.15010344827586206,0.4307,0.12545454545454546,0.2988571428571428,0.16042105263157894,0.10394871794871796,0.77,0.28815384615384604
Prevalence_Sequence_ID:38340|ARO_Name:vanH_in_vanO_cl|ARO:3002948|Detection_Model:Protein,0.2025,0.1365,0.057749999999999996,0.07250000000000001,0.33775,0.10891666666666666,0.09975,0.2853333333333333,0.12591666666666668,0.11071428571428572,0.22887500000000002,0.10945454545454547,0.024,0.10716129032258066
Prevalence_Sequence_ID:38344|ARO_Name:amrA|ARO:3002982|Detection_Model:Protein,0.255,0.2222941176470588,0.16729411764705882,0.10094117647058824,0.5142941176470588,0.2088,0.1424242424242424,0.3754,0.10481818181818182,0.2994285714285714,0.15434999999999993,0.09260526315789473,0.825,0.29497674418604647
Prevalence_Sequence_ID:38361|ARO_Name:vanH_in_vanO_cl|ARO:3002948|Detection_Model:Protein,0.20525,0.15075,0.06075,0.07050000000000001,0.33375,0.10891666666666666,0.10264705882352941,0.2923333333333334,0.12708333333333335,0.11185714285714286,0.2117777777777778,0.10756521739130435,0.024,0.10600000000000002
Prevalence_Sequence_ID:38367|ARO_Name:vanH_in_vanF_cl|ARO:3002945|Detection_Model:Protein,0.20500000000000002,0.14700000000000002,0.05475,0.07175000000000001,0.33425,0.10899999999999997,0.0974,0.2862,0.14272727272727276,0.11385714285714287,0.2542857142857143,0.10581818181818183,0.0225,0.0953
Prevalence_Sequence_ID:38378|ARO_Name:adeF|ARO:3000777|Detection_Model:Protein,0.22851612903225804,0.16109677419354845,0.11077419354838709,0.07254838709677419,0.3400322580645162,0.12036111111111111,0.13401492537313434,0.16605970149253726,0.1115925925925926,0.13196666666666668,0.1821521739130435,0.10278571428571429,0.12825,0.16141044776119398
Prevalence_Sequence_ID:38393|ARO_Name:qacG|ARO:3007015|Detection_Model:Protein,0.177,0.198,0.09,0.049,0.522,0.041,0.051000000000000004,0.0648,0.14620000000000005,0.031999999999999994,0.5093333333333333,0.08450000000000002,0.02,0.08579999999999999
Prevalence_Sequence_ID:38421|ARO_Name:qacG|ARO:3007015|Detection_Model:Protein,0.15380000000000002,0.262,0.07239999999999999,0.048,0.348,0.0345,0.05439999999999999,0.07981818181818182,0.067,0.039,0.813,0.101,0.0,0.09175000000000001
Prevalence_Sequence_ID:38434|ARO_Name:adeF|ARO:3000777|Detection_Model:Protein,0.23509090909090916,0.13959090909090915,0.09104545454545455,0.06359090909090909,0.36374999999999996,0.17543181818181816,0.10969999999999999,0.16470588235294112,0.11513725490196075,0.10959259259259259,0.12057407407407404,0.07680555555555554,0.276,0.14973913043478262
